FIPS Code,Opioid Rate per 100 per year,Percent Below Poverty Level Estimate Population For Whom Poverty Status Is Determined,"Percent Below Poverty Level Estimate White Alone, Not Hispanic Or Latino",Total Estimate All Individuals With Income Below The Following Poverty Ratios 50 Percent Of Poverty Level,Total Estimate All Individuals With Income Below The Following Poverty Ratios 125 Percent Of Poverty Level,Total Estimate All Individuals With Income Below The Following Poverty Ratios 150 Percent Of Poverty Level,Total Estimate All Individuals With Income Below The Following Poverty Ratios 185 Percent Of Poverty Level,Total Estimate All Individuals With Income Below The Following Poverty Ratios 200 Percent Of Poverty Level,Total Estimate All Individuals With Income Below The Following Poverty Ratios 300 Percent Of Poverty Level,Total Estimate All Individuals With Income Below The Following Poverty Ratios 400 Percent Of Poverty Level,Total Estimate All Individuals With Income Below The Following Poverty Ratios 500 Percent Of Poverty Level,Percent Below Poverty Level Estimate Unrelated Individuals For Whom Poverty Status Is Determined,"Percent Below Poverty Level Estimate Worked Fulltime, Yearround In The Past 12 Months","Percent Below Poverty Level Estimate Worked Less Than Fulltime, Yearround In The Past 12 Months",Percent Below Poverty Level Estimate Did Not Work,Percent With A Disability Estimate Total Civilian Noninstitutionalized Population,"Percent With A Disability Estimate White Alone, Not Hispanic Or Latino",Percent Households Receiving Food Stamps/SNAP Estimate Households,Percent Households Not Receiving Food Stamps/SNAP Estimate Households,Percent Estimate Household Type Marriedcouple Family,Percent Households Receiving Food Stamps/SNAP Estimate Household Type Married couple Family,Percent Households Not Receiving Food Stamps/SNAP Estimate Household Type Marriedcouple Family,Percent Estimate Household Type Other Family:,Percent Households Receiving Food Stamps/SNAP Estimate Household Type Other Family:,Percent Households Not Receiving Food Stamps/SNAP Estimate Household Type Other Family:,Percent Estimate Household Type Nonfamily Households,Percent Households Receiving Food Stamps/SNAP Estimate Household Type Nonfamily Households,Percent Households Not Receiving Food Stamps/SNAP Estimate Household Type Nonfamily Households,Percent Estimate Poverty Status In The Past 12 Months Below Poverty Level,Percent Households Receiving Food Stamps/SNAP Estimate Poverty Status In The Past 12 Months Below Poverty Level,Percent Households Not Receiving Food Stamps/SNAP Estimate Poverty Status In The Past 12 Months Below Poverty Level,Percent Estimate Poverty Status In The Past 12 Months At Or Above Poverty Level,Percent Households Receiving Food Stamps/SNAP Estimate Poverty Status In The Past 12 Months At Or Above Poverty Level,Percent Households Not Receiving Food Stamps/SNAP Estimate Poverty Status In The Past 12 Months At Or Above Poverty Level,Percent Estimate Disability Status With One Or More People With A Disability,Percent Households Receiving Food Stamps/SNAP Estimate Disability Status With One Or More People With A Disability,Percent Households Not Receiving Food Stamps/SNAP Estimate Disability Status With One Or More People With A Disability,Percent Estimate Disability Status With No Persons With A Disability,Percent Households Receiving Food Stamps/SNAP Estimate Disability Status With No Persons With A Disability,Percent Households Not Receiving Food Stamps/SNAP Estimate Disability Status With No Persons With A Disability,"Percent Estimate White Alone, Not Hispanic Or Latino","Percent Households Receiving Food Stamps/SNAP Estimate White Alone, Not Hispanic Or Latino","Percent Households Not Receiving Food Stamps/SNAP Estimate White Alone, Not Hispanic Or Latino",Percent Households Receiving Food Stamps/SNAP Estimate Work Status Families No Workers In Past 12 Months,Percent Households Not Receiving Food Stamps/SNAP Estimate Work Status Families No Workers In Past 12 Months,Percent Households Receiving Food Stamps/SNAP Estimate Work Status Families 1 Worker In Past 12 Months,Percent Households Not Receiving Food Stamps/SNAP Estimate Work Status Families 1 Worker In Past 12 Months,Percent Estimate Work Status Families 2 Or More Workers In Past 12 Months,Percent Households Receiving Food Stamps/SNAP Estimate Work Status Families 2 Or More Workers In Past 12 Months,Percent Households Not Receiving Food Stamps/SNAP Estimate Work Status Families 2 Or More Workers In Past 12 Months,"Labor Force Participation Rate Estimate White Alone, Not Hispanic Or Latino","Unemployment Rate Estimate White Alone, Not Hispanic Or Latino",Labor Force Participation Rate Estimate Poverty Status In The Past 12 Months Below Poverty Level,Unemployment Rate Estimate Poverty Status In The Past 12 Months Below Poverty Level,Labor Force Participation Rate Estimate Poverty Status In The Past 12 Months At Or Above The Poverty Level,Unemployment Rate Estimate Poverty Status In The Past 12 Months At Or Above The Poverty Level,Labor Force Participation Rate Estimate Disability Status With Any Disability,Unemployment Rate Estimate Disability Status With Any Disability,Diagnosed Hiv,ED Heroin Overdose,ED Opioid Overdose,Ems Narcan,Death Fentanylheroin,Death Prescription,Neonatal Abstinance,Reported Hepatitis C,Opioid Cost per Claim,Opioid Daily Supply per Claim,Poverty Status (Last 12 months),Disability (Percent Household),Food Stamps(Percent Household)
51043,27.7,11.1,8.7,909,2316,2586,2976,3056,4845,6953,8555,26.9,3.6,47.9,37.1,11,10.8,7,93,50.2,17.5,52.7,16.3,57.3,13.2,33.5,25.2,34.1,10.7,51.9,7.6,89.3,48.1,92.4,21.8,62.2,18.7,78.2,37.8,81.3,89.5,57.3,92,17.9,14.1,41.9,27.5,57,40.2,58.4,63.9,5.8,56.4,32.8,84,2.7,49.4,7.5,0,13.9,62.7,55.7,7,0,7.6,212.9,44.64215681,26.88721021,32.8,21.8,7
51045,6.5,11.8,9.9,227,837,1306,1619,1673,2887,3809,4267,29.7,0,68.2,32.2,20.7,21.1,11.2,88.8,50.8,15.3,55.3,10.1,37.5,6.6,39.1,47.2,38.1,12.3,52,7.3,87.7,48,92.7,37.2,62.5,34,62.8,37.5,66,98.6,100,98.5,58,20.9,30.5,22.9,51.9,11.5,56.2,53.6,4.2,44.3,26.8,74.5,2.9,23.6,0,0,0,76.8,0,0,0,0,438,22.11957356,27.18336887,26.8,37.2,11.2
51047,71.5,9.3,7.7,1283,6446,8542,11313,13027,20727,28278,33550,23.3,3.6,34.3,41.4,10.4,11,9.8,90.2,58.1,30,61.2,17.2,42.9,14.4,24.7,27.1,24.5,9.3,40.1,6,90.7,59.9,94,22.5,48,19.7,77.5,52,80.3,78.1,54.8,80.6,12.8,12.6,46.2,31.7,54.4,41,55.8,64.5,6,53,30.7,83.3,5.3,37.2,20.2,4,42.5,155.8,54.6,14.2,12.1,4.5,339.9,29.14343549,19.35477218,30.7,22.5,9.8
51049,33.1,20.5,14.6,967,2969,3325,3905,4093,6222,7473,8105,31.7,1.5,43.5,54.2,17.2,16.6,23.1,76.9,44.6,31.1,48.7,23.3,42.9,17.5,32.1,25.9,33.9,16.1,48.6,6.3,83.9,51.4,93.7,34.5,57.3,27.7,65.5,42.7,72.3,66.1,54.1,69.7,43.6,13,37.7,30.7,46.8,18.7,56.3,63.9,7,62.2,36,82.2,7.1,29,0,20.6,0,82.3,10.3,10.3,0,0,67.8,19.24979167,13.375,36,34.5,23.1
51051,137.5,21.4,21.5,1327,4107,5381,6370,6709,10115,11785,12901,36.4,0,47.7,44.3,24.5,24.7,20.2,79.8,53.7,25.8,60.7,17,33.5,12.8,29.4,40.7,26.5,21.6,69,9.5,78.4,31,90.5,44.4,61.8,40,55.6,38.2,60,99.2,99.1,99.3,51.1,28.2,38.6,34.5,32.7,10.3,37.3,43.7,8.5,30.5,20.3,63.7,5.1,18.6,20.1,6.6,0,191.9,105.9,0,46.3,15.6,862.1,43.44865352,27.72217562,20.3,44.4,20.2
51053,5.6,14.8,12.6,1641,5048,6485,7541,8373,15191,19351,22286,33.9,3.8,55.4,52.9,17,17.3,17,83,49.8,25.9,54.7,21.4,50.9,15.4,28.8,23.2,29.9,14.4,48.2,7.5,85.6,51.8,92.5,31.5,40.7,29.6,68.5,59.3,70.4,66,46.8,69.9,29.1,19.2,43.8,30.7,45.9,27.2,50.1,60.2,8.5,55.9,38.5,81,6,39.2,14.3,21.5,0,14.4,50.3,3.6,3.6,0,108.9,41.33981429,25.65684296,38.5,31.5,17
51057,122.9,13.9,9.9,381,2244,2956,3855,4293,6810,8157,9093,25.8,5.7,35.3,43,12.2,14.1,13.1,86.9,46.2,22.8,49.7,16.5,31.7,14.2,37.3,45.5,36.1,14.9,51.7,9.3,85.1,48.3,90.7,24.4,39.2,22.2,75.6,60.8,77.8,59.2,54.3,59.9,22,21,41.7,28.7,48.7,36.2,50.3,59,10.6,57.6,29.2,84,5.1,31.2,9.8,27,0,152.7,27,0,0,0,0,12.99328502,13.80627178,29.2,24.4,13.1
51059,32,6,3.4,30699,93382,119833,158600,172945,279489,389894,495579,13.8,1.6,28,37.2,6.6,7.8,4.2,95.8,58.3,37.4,59.2,13.1,44,11.7,28.6,18.5,29.1,5.4,36.6,4,94.6,63.4,96,14.9,36.3,14,85.1,63.7,86,61.1,23.1,62.8,13.5,6.8,39.5,28.5,63.9,47,64.7,70.7,3.7,58.2,24,85.8,3.7,57.2,8.2,7.5,5.4,68.7,19.3,3.3,2.5,1.9,26.9,67.7869393,20.65311819,24,14.9,4.2
51061,76.5,5.6,4.4,1726,5698,7363,9914,10875,20365,28945,36943,16.2,2.3,25.4,34,10.7,10.7,5,95,62.4,40.1,63.6,11.1,38.1,9.7,26.5,21.8,26.7,5.3,29.5,4,94.7,70.5,96,23.2,42.1,22.2,76.8,57.9,77.8,85.5,66.2,86.5,10.7,10.2,44.5,27.4,61.5,44.9,62.4,68.2,4.5,47.4,29,84,3.7,52.9,14.3,4.4,14.5,123.6,88.7,13.1,8.7,24.8,131.6,71.10910767,18.5817351,29,23.2,5
51063,59.3,10,8.6,401,2051,3241,4444,4872,8783,11312,13044,27.5,5.2,37.6,45.8,14.2,14.1,12.6,87.4,59.1,33.6,62.7,9.2,27.2,6.6,31.8,39.2,30.7,12.9,33.4,10,87.1,66.6,90,28,54.7,24.2,72,45.3,75.8,94.2,87.3,95.2,12.7,19.1,49.7,22.1,56.4,37.6,58.8,63.5,5.5,53.7,23.5,82.7,4.5,38.5,17.8,12.8,0,51.1,12.8,0,0,0,105.2,32.51832063,21.50617608,23.5,28,12.6
51065,36.4,6.6,3.8,1053,2645,3183,4127,4824,9869,14521,17759,16.1,4.9,19.4,27.4,13.5,13,5.2,94.8,60.2,20,62.4,13.1,69.5,10.1,26.7,10.5,27.5,6.5,48.8,4.1,93.5,51.2,95.9,25.2,58.8,23.4,74.8,41.2,76.6,83.5,46.3,85.5,37.2,17.5,37.4,25.5,55,25.4,57,61.4,4.6,35.5,25.8,85.2,4.1,46.4,8.7,3.8,22.9,76.2,26.7,0,0,7.9,83.4,47.39756535,24.32035871,25.8,25.2,5.2
51067,87.4,14.9,12.6,2993,10317,13404,18067,20263,30678,38489,44398,26.2,4.2,33.5,39.6,15.2,15.4,12.4,87.6,57.7,32.3,61.2,13.9,36.9,10.6,28.5,30.8,28.1,13.8,56,7.9,86.2,44,92.1,29.7,48.9,26.9,70.3,51.1,73.1,89.4,79,90.8,16.7,22.2,49.2,30.9,45.4,34.1,46.9,57.3,6.4,50.4,26.8,77.3,3.5,40.3,10,1.8,1.8,90.6,12.4,1.8,3.6,20.6,339.1,30.18806719,21.85887733,26.8,29.7,12.4
51069,59.9,6.5,6.2,2286,8095,11738,16097,17619,31194,42784,55888,19.8,2.1,30.2,37.2,11.7,12.6,6.2,93.8,60.1,15.9,63,13.7,52.2,11.2,26.2,31.9,25.8,6.7,42.6,4.3,93.3,57.4,95.7,24.6,53.4,22.7,75.4,46.6,77.3,89.1,87.3,89.2,21.5,12.3,52.9,27.7,58.1,25.5,60,67.3,4.8,53.3,24.9,84.1,3.7,49.2,7.3,7.2,13.2,46.9,34.9,9.6,7.2,14.2,141.4,44.11342004,20.87791901,24.9,24.6,6.2
51071,142.6,11.3,10.1,629,2579,3366,4631,5463,8946,12118,13907,31.6,2.1,55,41.8,20.6,20.6,9.9,90.1,48.4,14.4,52.2,18.7,37.5,16.6,32.9,48.1,31.2,12.5,60.3,7.2,87.5,39.7,92.8,37.9,70.2,34.3,62.1,29.8,65.7,97.2,91.4,97.9,35.2,18.2,40.1,33.6,46.4,24.7,48.2,58.3,4.4,44.4,29.8,78.4,2.8,37,16.3,18,0,83.8,6,0,12,0,518.6,74.72118019,26.17089374,29.8,37.9,9.9
51073,119.4,7.4,6.9,1136,3894,4638,7589,8485,15688,22139,26567,21.8,3.5,27.9,35.6,14.1,14.3,7.6,92.4,58.1,35,60,13.4,32.3,11.8,28.5,32.7,28.2,8.6,30.6,6.8,91.4,69.4,93.2,28.3,39.6,27.3,71.7,60.4,72.7,87.5,77.7,88.3,16.6,13.9,40.2,30.8,54.5,43.2,55.3,61.3,4.5,47.9,24.5,80.6,3.1,43,15.7,0,10.8,137.3,32.3,13.5,0,2.7,55,22.42873082,16.79444887,24.5,28.3,7.6
51075,15.3,5.7,3.7,412,1533,2221,3020,3388,6158,8418,11255,19,2.8,35,31,11.7,9.5,7.7,92.3,67.7,31.6,70.7,9.8,48.9,6.6,22.5,19.6,22.7,5.9,28.2,4,94.1,71.8,96,24.3,53.7,21.9,75.7,46.3,78.1,81,38.9,84.5,10.8,13.5,41.8,30.7,55.1,47.4,55.8,62.8,4.4,44.6,5.4,80.6,4.5,56.1,9.3,18,4.5,49.4,31.5,0,4.5,7.1,403.2,17.76240011,18.85787671,5.4,24.3,7.7
51077,8.7,21.4,18.9,1007,4431,5518,6991,7514,10725,12799,13902,34.6,2.6,41,46.4,19.1,19.4,19.4,80.6,49.2,26.8,54.6,15.4,35,10.7,35.4,38.3,34.7,22.4,67.1,11.7,77.6,32.9,88.3,33.5,41.7,31.5,66.5,58.3,68.5,93.7,84.9,95.8,27.5,23,50.1,32,40.9,22.4,45.1,52.6,8.1,49.7,35.3,75.9,4.4,24.5,11.4,0,0,50,25,0,0,7.2,90.1,27.21161757,26.91684046,35.3,33.5,19.4
51079,83.1,9.9,7,521,2764,3940,4973,5608,8727,11966,14764,24.5,5.2,39.2,46.9,13.4,14.4,7.6,92.4,58.6,34.9,60.6,12.4,41,10,29,24.1,29.4,8.2,44.9,5.2,91.8,55.1,94.8,27.3,57.5,24.8,72.7,42.5,75.2,88.1,77,89.1,17.6,16.1,36.4,28.6,54.6,46,55.3,63.4,7.3,52.5,38.5,82.5,4.5,42.9,8.3,5.2,26.1,120,146.1,5.2,0,14.9,0,32.13306081,21.06509009,38.5,27.3,7.6
51081,,19.7,9.3,382,2030,2717,3218,3543,4776,6006,6902,29.7,26.3,20.6,36.5,21,19,22.7,77.3,47.7,26.1,54,23.9,51,15.9,28.4,22.9,30,20.8,42.8,14.3,79.2,57.2,85.7,41.7,48.9,39.7,58.3,51.1,60.3,43.1,19.2,50.1,14.4,21.8,48.4,26.9,47.8,37.1,51.3,43.1,4.8,52.4,36.4,86.6,2.9,48.9,18.3,16.8,0,25.2,0,8.4,0,0,228.8,30.50811897,18.89373208,36.4,41.7,22.7
51083,87.8,19.2,14.3,2641,9791,11871,14751,15596,22007,27260,30096,35.6,6.3,36.9,47.8,18.5,16.9,17.1,82.9,46.8,29.9,50.3,18.4,38.3,14.3,34.8,31.9,35.4,19.6,57.3,11.8,80.4,42.7,88.2,33.2,53.7,29,66.8,46.3,71,62.7,45.1,66.3,36.5,16,46.3,34.9,43.4,17.2,49.1,54.2,5.3,38.4,33.5,78.7,4.5,28.8,13.6,2.8,0,14.2,28.5,0,5.7,22.7,20.6,21.23065327,16.69489323,33.5,33.2,17.1
51085,96,6,4.8,2611,8108,10562,14655,16277,30371,44221,58761,17.7,3,32.9,29.4,10,10,4.5,95.5,61.9,29.7,63.4,13.4,47.3,11.8,24.7,23,24.8,6.3,39.3,4.8,93.7,60.7,95.2,21.5,49.4,20.2,78.5,50.6,79.8,87.1,70.4,87.9,14.2,11.1,46.6,25.6,62.1,39.2,63.2,68.3,3.9,60.5,28.8,85.7,2.9,48.4,14.4,6.8,13.6,107.5,23.2,4.8,3.9,7.2,110.7,56.6971376,20.45762601,28.8,21.5,4.5
51087,75.3,10.7,6.7,16511,43810,54424,72123,79778,129576,176714,212794,17.5,2.2,33.9,32,10.2,11.1,8.9,91.1,44.9,22.3,47.1,18.9,54.2,15.5,36.2,23.5,37.4,9.9,49,6,90.1,51,94,20.4,38.7,18.6,79.6,61.3,81.4,59.6,34.7,62,16.6,9.7,51.6,31,56.4,31.7,59.3,68.2,5,58.5,28.4,86,4.4,46.6,18.2,18.1,14.5,124.6,51.1,8.6,2.8,3.3,61,43.7015394,18.88396914,28.4,20.4,8.9
51089,86.9,18.3,15.4,3645,12969,17510,22350,24215,35473,42132,45750,29.3,6.9,43.1,38,18.6,20.5,18.2,81.8,47.9,29.1,52.1,18.6,38.2,14.2,33.5,32.7,33.7,17,53.1,9,83,46.9,91,33.9,49.7,30.4,66.1,50.3,69.6,74.7,61.7,77.6,26,22.5,43.8,30.6,43.8,30.2,46.9,53.8,8.2,44.3,31.3,79.3,6.9,26.4,18.2,5.8,0,90.6,59.8,0,5.8,9.2,228.5,44.03393351,27.06609043,31.3,33.9,18.2
51091,,12.6,12.7,140,451,589,670,704,1235,1604,1791,23.4,0,49.3,29.2,18.4,18.5,9.4,90.6,53.6,26.7,56.4,11.4,16.8,10.8,35,56.4,32.8,12.5,43.6,9.3,87.5,56.4,90.7,34.6,69.3,31,65.4,30.7,69,99.7,100,99.7,50,26.1,40.9,26.5,45,9.1,47.4,51.6,1.1,49.7,0,81.4,1.4,45.8,0,0,0,0,0,45.2,0,0,0,73.9802651,27.86450663,0,34.6,9.4
51093,67.8,11.7,8.4,1979,5080,6093,7896,8553,13295,19189,23500,22.6,5.8,38.4,35,12.1,12.3,12.7,87.3,59.9,26.5,64.8,14,41.2,10,26.1,32.4,25.2,11.5,53.3,5.4,88.5,46.7,94.6,25,39.6,22.9,75,60.4,77.1,72.5,44.1,76.6,26.8,14.9,34.1,26.9,56,39,58.3,66.4,7,57.6,30.2,84,5.6,41.8,13.1,19.3,13.8,60.6,38.6,5.5,2.8,8.4,59,,,30.2,25,12.7
51095,106.1,8.1,5.2,2798,7348,8865,11735,13159,22706,32529,41201,19.6,3.6,32.2,29.2,10.8,10.8,4.5,95.5,57.3,30.3,58.6,13.7,43.8,12.3,29,25.9,29.2,7.3,53.4,5.2,92.7,46.6,94.8,21.5,42.4,20.5,78.5,57.6,79.5,81.4,48.7,83,19.9,20.7,49.4,29.5,48.9,30.7,49.8,57.5,4.7,42.4,27.5,82,3.8,44,9.9,4.1,1.4,98.4,8.2,0,6.8,4.3,10.1,,,27.5,21.5,4.5
51097,,13.4,11,479,1209,1991,2581,2947,3948,4812,5357,21.3,1.3,31.7,31.6,11.4,11.1,9.4,90.6,49.6,29.2,51.7,18,50.6,14.6,32.4,20.3,33.7,8.8,34.3,6.2,91.2,65.7,93.8,20.9,43.5,18.5,79.1,56.5,81.5,72,42.4,75,13.9,12.9,51.4,34.4,50.8,34.7,52.8,59.4,6,49.9,31.2,79.7,3.1,36,0,14,14,111.8,14,0,0,16.7,0,,,31.2,20.9,9.4
51099,53.5,5.5,5.2,481,1859,2641,4025,4996,8293,12259,14949,15.5,1.3,41.9,27.2,10.9,11.2,7.5,92.5,62,46.9,63.2,13.9,34.2,12.2,24.2,18.9,24.6,5.7,26.6,4,94.3,73.4,96,24.2,51.4,22,75.8,48.6,78,77.4,69.9,78,14.6,11.2,51.3,28.4,58.3,34.1,60.4,70.1,6.4,60,20.5,82.5,5.9,46.1,20.9,15.7,11.8,74.5,47,3.9,7.8,6.3,24.8,14.29628718,13.30153846,20.5,24.2,7.5
51101,42.3,11.8,7.8,878,2297,2807,3795,4030,7082,10115,12344,23.3,0,22.4,54.3,11,10.6,7.9,92.1,60.5,33.9,62.8,14.9,49.8,11.9,24.6,16.3,25.3,8.7,40.8,5.9,91.3,59.2,94.1,20.6,51,17.9,79.4,49,82.1,78.4,33.5,82.3,14,14.5,63,24.8,57.4,23,60.7,68.5,4.5,41.9,30.6,84.4,4.1,45.3,12.9,0,12.3,147.5,24.6,6.1,12.3,0,40.7,37.36676166,23.02880219,30.6,20.6,7.9
51103,183.2,11.3,7.8,365,1899,2414,2996,3421,5434,6981,8174,27.4,4.2,31.7,37,15.5,16.4,7.7,92.3,44.3,10.5,47.1,13.9,30.6,12.5,41.8,58.9,40.4,14.1,49.1,11.2,85.9,50.9,88.8,26.7,28.3,26.5,73.3,71.7,73.5,74.3,49.9,76.3,8.5,27.9,40.9,30.3,42.2,50.6,41.7,47.9,5.2,44.4,43.1,83.8,5.7,32.1,31.3,18.2,0,27.4,9.1,0,0,0,167.5,37.30047628,22.29299363,43.1,26.7,7.7
51105,112.3,25.4,26,2314,7741,9167,11172,11980,16513,19891,21718,38.8,11.3,45.5,46.2,25.8,25.8,24.7,75.3,51.5,33.5,57.4,16.1,30.3,11.4,32.4,36.2,31.2,24.5,61.4,12.4,75.5,38.6,87.6,46.8,64.5,40.9,53.2,35.5,59.1,97.1,95.5,97.6,37.4,26.8,41.1,33.2,35.7,21.5,40,45.6,12.2,35,33.1,65.1,7.4,20.2,13.5,4,0,76.8,16.2,0,8.1,31.1,347,31.47817644,26.60580452,33.1,46.8,24.7
51107,38.3,4,2.6,6040,18837,25550,34379,38618,69290,107374,144009,14.1,2.1,29,41.1,5.3,6.2,2.9,97.1,65.5,47,66.1,12,34.6,11.3,22.5,18.3,22.6,3.7,28.4,3,96.3,71.6,97,13,33.2,12.4,87,66.8,87.6,66.3,40.6,67.1,4.2,4.2,36.6,28,67.6,59.1,67.8,75.1,3.7,59.6,18,86.5,3.3,59.8,6.5,5.9,5.9,64.7,14.4,2.4,2.4,2.3,15.7,66.39636123,21.47196383,18,13,2.9
51109,53.2,10,9.6,1385,5013,7110,8944,10290,16033,21795,26792,25.8,4,33.9,39.8,14.6,14.1,9.6,90.4,58.3,30.5,61.2,14,42.3,11,27.7,27.2,27.8,9.5,39.4,6.3,90.5,60.6,93.7,29.1,51.8,26.7,70.9,48.2,73.3,80.3,62.7,82.2,25.9,14.9,47.3,29,53.2,26.8,56.1,62.6,7.8,48.7,38.7,81,5.7,41.8,22.4,2.9,23.1,101.2,89.6,2.9,2.9,19,105.3,34.21672779,21.92746323,38.7,29.1,9.6
51111,3,20.5,11.3,821,2926,3644,4887,5367,7125,8436,9583,28.9,3.4,27.9,43.8,19.5,18,18,82,47.1,24.8,51.9,21.7,48.8,15.7,31.3,26.4,32.4,18.4,57.3,9.8,81.6,42.7,90.2,36.4,54,32.6,63.6,46,67.4,65.4,37.4,71.6,29.6,22.3,43.7,29.3,44.2,26.6,48.4,53.1,5.9,39.1,27.2,76.2,4.3,37.2,11.9,8.1,0,48.8,8.1,8.1,0,0,0,18.49435076,18.38216695,27.2,36.4,18
51113,,12.4,9.5,499,2675,3677,4251,5203,7221,8687,10362,20,6,16.2,37.3,12.7,11.4,10.2,89.8,53.7,32.6,56.1,14.4,44.5,10.9,31.9,22.9,33,12.8,48.8,8.7,87.2,51.2,91.3,24.7,36.3,23.4,75.3,63.7,76.6,91,78.5,92.4,13.9,16.6,44.6,27.5,54.2,41.5,55.9,61.2,6.2,46.8,33.5,83.4,3.8,41.5,9.4,0,30.5,30.5,45.7,0,15.2,13.6,0,43.17931801,22.11452206,33.5,24.7,10.2
51115,60.2,7,6,254,1141,1207,1529,1819,3191,4681,5890,14.9,0,19.2,18.4,14.8,15.2,6.7,93.3,60.6,22,63.4,9.9,51,7,29.5,27.1,29.6,7.9,49,5,92.1,51,95,26.9,30.2,26.7,73.1,69.8,73.3,88.2,93.3,87.9,20.4,24.8,68.8,26,46.6,10.8,49.2,54.3,3.2,49.8,11.3,80.1,3.4,51.3,0,0,0,67.7,45.1,0,0,0,97,31.30304402,20.88096714,11.3,26.9,6.7
51117,112,19.8,12.5,2060,7437,9571,12486,13714,18792,23030,26060,31.3,7.7,32.8,43.8,19,18.4,13.5,86.5,43.8,19.7,47.5,18.6,47.6,14.1,37.6,32.7,38.4,18.8,57.6,12.7,81.2,42.4,87.3,34.4,55.6,31.1,65.6,44.4,68.9,65.1,39.7,69,26.1,21.3,43.2,32.5,44,30.7,46.2,52,5.2,42,23.8,78,4.7,33.9,15.1,16.1,3.2,90.1,25.7,6.4,0,7.3,120.9,44.81892985,23.69126568,23.8,34.4,13.5
51119,4.5,9.5,6.7,379,1493,2068,2764,3077,5198,6842,8087,25.2,5.9,28.2,34.9,16.5,16.4,8.3,91.7,53.8,32.4,55.7,13.2,33.5,11.4,33,34.1,32.9,10.9,62.9,6.2,89.1,37.1,93.8,32.2,53.5,30.3,67.8,46.5,69.7,82.2,66.8,83.6,21.4,25.9,42.9,23.2,49.6,35.7,50.9,51.7,3.6,57.3,16.3,77,5.4,58.2,27.7,0,9.4,113.1,18.9,9.4,9.4,0,0,58.50189156,18.97297775,16.3,32.2,8.3
51121,66,24.8,22.6,14079,25965,28839,34675,37134,48536,60474,67459,51.5,8.7,70.8,67,9.2,9.7,8.5,91.5,43.4,24.1,45.2,10.6,33.9,8.4,46,41.9,46.3,22.6,58.4,19.3,77.4,41.6,80.7,19.5,47.9,16.9,80.5,52.1,83.1,87.8,91.1,87.5,14.1,13.4,57.2,28.3,55.6,28.7,58.3,58.5,5.1,43,13.5,83.8,2.7,41.1,12.8,1,0,87,13.3,0,5.1,17.6,38.2,44.81170801,21.63736735,13.5,19.5,8.5
51125,26.7,14.7,14.5,1346,3111,3840,4735,5178,7968,10024,11711,27.6,6.1,43.5,37.4,14.5,14.4,11.2,88.8,44.3,33.5,45.7,18.7,33.2,16.9,36.9,33.3,37.4,14.5,54.1,9.5,85.5,45.9,90.5,26.5,43.7,24.4,73.5,56.3,75.6,86,59.1,89.4,24.9,15.5,32.9,31.9,51.3,42.2,52.6,59.3,5.4,43.7,18,79.9,3.9,31.2,18.2,6.8,0,101.5,6.8,0,0,7.9,0,36.88061096,23.10163309,18,26.5,11.2
51127,61.6,7,6.7,694,1835,2144,2356,2617,5400,9278,12278,18.9,3.5,36.9,22.7,10.9,10.5,7,93,63.6,24.4,66.5,14,44.7,11.7,22.5,30.9,21.8,6.6,46.5,3.6,93.4,53.5,96.4,24.1,46.1,22.4,75.9,53.9,77.6,85,74.2,85.9,33.6,11.4,37.9,25.5,60.9,28.5,63.1,69.4,5.6,55.2,15.7,84.5,4.5,45.8,12.8,0,14.7,68.7,19.6,4.9,0,5.1,67.5,44.00177235,19.99875312,15.7,24.1,7
51131,112.7,23,13.6,1141,3669,4026,5065,5292,7568,8869,10034,34.9,5.6,37.3,50.7,13.3,13.6,16.7,83.3,41.1,16.6,46,18.3,45,13,40.6,38.4,41.1,23.1,63.3,15,76.9,36.7,85,23.1,29,21.9,76.9,71,78.1,57.6,26.1,64,34.2,22.6,35.7,34.2,40.9,30.1,43.2,51,4.4,56.3,34.8,79.7,5.7,42.9,18.3,16.5,0,139.9,16.5,0,0,8.6,0,33.32262897,18.06192938,34.8,23.1,16.7
51133,34.9,11,5.2,453,1779,2421,3400,3893,6387,7636,9019,19,0,33,27.9,15.2,17.9,8.8,91.2,54.3,25.7,57.1,14.2,42.1,11.5,31.4,32.2,31.3,11.7,51.9,7.8,88.3,48.1,92.2,28,61.2,24.8,72,38.8,75.2,74.7,53.1,76.8,22.8,27.8,53.6,29.6,41,23.6,42.6,47.1,6.5,61,20.5,78.5,5.2,35.8,18.2,8.2,8.2,32.7,8.2,8.2,0,0,78.1,26.12154498,24.40455016,20.5,28,8.8
51135,64.3,24.1,18.7,1540,4415,5266,6396,6868,9044,11188,12352,38.2,1.2,46,49.6,18.6,17.4,23.5,76.5,44.2,26.6,49.7,23.2,48.4,15.4,32.6,25,34.9,22,60,10.3,78,40,89.7,32.6,47.4,28.1,67.4,52.6,71.9,60.9,36.6,68.4,22.6,17.7,55.4,33.1,42.1,21.9,49.2,51.5,4.4,39.5,33.7,75.7,6.5,27.8,41.5,44.7,6.4,121.2,57.4,0,0,0,77.2,24.01669843,18.8336846,33.7,32.6,23.5
