County,State,FIPS County Code,Rate,Year
"Aleutians East, AK",AK,2013,–,2014
"Aleutians West, AK",AK,2016,–,2014
"Anchorage, AK",AK,2020,68,2014
"Bethel, AK",AK,2050,–,2014
"Bristol Bay, AK",AK,2060,–,2014
"Denali, AK",AK,2068,–,2014
"Dillingham, AK",AK,2070,–,2014
"Fairbanks North Star, AK",AK,2090,54.3,2014
"Haines, AK",AK,2100,–,2014
"Hoonah-Angoon, AK",AK,2105,–,2014
"Juneau, AK",AK,2110,87.6,2014
"Kenai Peninsula, AK",AK,2122,100,2014
"Ketchikan Gateway, AK",AK,2130,100.6,2014
"Kodiak Island, AK",AK,2150,38.6,2014
"Lake and Peninsula, AK",AK,2164,–,2014
"Matanuska-Susitna, AK",AK,2170,86.2,2014
"Nome, AK",AK,2180,–,2014
"North Slope, AK",AK,2185,–,2014
"Northwest Arctic, AK",AK,2188,–,2014
"Petersburg, AK",AK,2195,92.2,2014
"Prince of Wales-Hyder, AK",AK,2198,59,2014
"Sitka, AK",AK,2220,14.1,2014
"Skagway, AK",AK,2230,–,2014
"Southeast Fairbanks, AK",AK,2240,–,2014
"Valdez-Cordova, AK",AK,2261,56.7,2014
"Wade Hampton, AK",AK,2270,–,2014
"Wrangell, AK",AK,2275,0.4,2014
"Yakutat, AK",AK,2282,–,2014
"Yukon-Koyukuk, AK",AK,2290,–,2014
"Autauga, AL",AL,1001,145.3,2014
"Baldwin, AL",AL,1003,143.5,2014
"Barbour, AL",AL,1005,102,2014
"Bibb, AL",AL,1007,75.8,2014
"Blount, AL",AL,1009,63.2,2014
"Bullock, AL",AL,1011,34.3,2014
"Butler, AL",AL,1013,145,2014
"Calhoun, AL",AL,1015,180,2014
"Chambers, AL",AL,1017,163.1,2014
"Cherokee, AL",AL,1019,175.1,2014
"Chilton, AL",AL,1021,132.1,2014
"Choctaw, AL",AL,1023,141.2,2014
"Clarke, AL",AL,1025,184.3,2014
"Clay, AL",AL,1027,150.6,2014
"Cleburne, AL",AL,1029,48.2,2014
"Coffee, AL",AL,1031,143.2,2014
"Colbert, AL",AL,1033,234.3,2014
"Conecuh, AL",AL,1035,154.4,2014
"Coosa, AL",AL,1037,35.7,2014
"Covington, AL",AL,1039,216.2,2014
"Crenshaw, AL",AL,1041,101.5,2014
"Cullman, AL",AL,1043,182.6,2014
"Dale, AL",AL,1045,71.5,2014
"Dallas, AL",AL,1047,123.3,2014
"DeKalb, AL",AL,1049,122.7,2014
"Elmore, AL",AL,1051,122.7,2014
"Escambia, AL",AL,1053,166.8,2014
"Etowah, AL",AL,1055,191.4,2014
"Fayette, AL",AL,1057,162.5,2014
"Franklin, AL",AL,1059,225.5,2014
"Geneva, AL",AL,1061,50.4,2014
"Greene, AL",AL,1063,98.6,2014
"Hale, AL",AL,1065,100.2,2014
"Henry, AL",AL,1067,37.3,2014
"Houston, AL",AL,1069,161.1,2014
"Jackson, AL",AL,1071,135.6,2014
"Jefferson, AL",AL,1073,130.2,2014
"Lamar, AL",AL,1075,105.8,2014
"Lauderdale, AL",AL,1077,151,2014
"Lawrence, AL",AL,1079,140.5,2014
"Lee, AL",AL,1081,70,2014
"Limestone, AL",AL,1083,79.1,2014
"Lowndes, AL",AL,1085,1.9,2014
"Macon, AL",AL,1087,67.2,2014
"Madison, AL",AL,1089,122,2014
"Marengo, AL",AL,1091,140.9,2014
"Marion, AL",AL,1093,207.3,2014
"Marshall, AL",AL,1095,221.2,2014
"Mobile, AL",AL,1097,158.5,2014
"Monroe, AL",AL,1099,143.8,2014
"Montgomery, AL",AL,1101,101.7,2014
"Morgan, AL",AL,1103,142.7,2014
"Perry, AL",AL,1105,5.2,2014
"Pickens, AL",AL,1107,124.7,2014
"Pike, AL",AL,1109,112.7,2014
"Randolph, AL",AL,1111,126.3,2014
"Russell, AL",AL,1113,128.9,2014
"St. Clair, AL",AL,1115,112.9,2014
"Shelby, AL",AL,1117,110.5,2014
"Sumter, AL",AL,1119,45.7,2014
"Talladega, AL",AL,1121,154.4,2014
"Tallapoosa, AL",AL,1123,109.8,2014
"Tuscaloosa, AL",AL,1125,116.7,2014
"Walker, AL",AL,1127,291.1,2014
"Washington, AL",AL,1129,36.8,2014
"Wilcox, AL",AL,1131,62.1,2014
"Winston, AL",AL,1133,179.6,2014
"Arkansas, AR",AR,5001,92.8,2014
"Ashley, AR",AR,5003,126.5,2014
"Baxter, AR",AR,5005,148,2014
"Benton, AR",AR,5007,95.1,2014
"Boone, AR",AR,5009,168.8,2014
"Bradley, AR",AR,5011,149.6,2014
"Calhoun, AR",AR,5013,84.4,2014
"Carroll, AR",AR,5015,78.2,2014
"Chicot, AR",AR,5017,88.9,2014
"Clark, AR",AR,5019,116.9,2014
"Clay, AR",AR,5021,140.3,2014
"Cleburne, AR",AR,5023,118.7,2014
"Cleveland, AR",AR,5025,0.4,2014
"Columbia, AR",AR,5027,133,2014
"Conway, AR",AR,5029,130.5,2014
"Craighead, AR",AR,5031,166,2014
"Crawford, AR",AR,5033,169.4,2014
"Crittenden, AR",AR,5035,107,2014
"Cross, AR",AR,5037,138.5,2014
"Dallas, AR",AR,5039,112.6,2014
"Desha, AR",AR,5041,166.6,2014
"Drew, AR",AR,5043,117.8,2014
"Faulkner, AR",AR,5045,100.7,2014
"Franklin, AR",AR,5047,28,2014
"Fulton, AR",AR,5049,104.2,2014
"Garland, AR",AR,5051,194.9,2014
"Grant, AR",AR,5053,88.4,2014
"Greene, AR",AR,5055,185.6,2014
"Hempstead, AR",AR,5057,131.5,2014
"Hot Spring, AR",AR,5059,114.1,2014
"Howard, AR",AR,5061,180.7,2014
"Independence, AR",AR,5063,178.7,2014
"Izard, AR",AR,5065,93.9,2014
"Jackson, AR",AR,5067,160.1,2014
"Jefferson, AR",AR,5069,114.9,2014
"Johnson, AR",AR,5071,147.7,2014
"Lafayette, AR",AR,5073,4.2,2014
"Lawrence, AR",AR,5075,48.2,2014
"Lee, AR",AR,5077,55.3,2014
"Lincoln, AR",AR,5079,81.1,2014
"Little River, AR",AR,5081,164.3,2014
"Logan, AR",AR,5083,40.6,2014
"Lonoke, AR",AR,5085,111.4,2014
"Madison, AR",AR,5087,83.5,2014
"Marion, AR",AR,5089,95.6,2014
"Miller, AR",AR,5091,138.1,2014
"Mississippi, AR",AR,5093,144.8,2014
"Monroe, AR",AR,5095,109.2,2014
"Montgomery, AR",AR,5097,108.1,2014
"Nevada, AR",AR,5099,–,2014
"Newton, AR",AR,5101,2.8,2014
"Ouachita, AR",AR,5103,139.8,2014
"Perry, AR",AR,5105,94.9,2014
"Phillips, AR",AR,5107,173.6,2014
"Pike, AR",AR,5109,10.6,2014
"Poinsett, AR",AR,5111,105.5,2014
"Polk, AR",AR,5113,133.2,2014
"Pope, AR",AR,5115,138.2,2014
"Prairie, AR",AR,5117,91.3,2014
"Pulaski, AR",AR,5119,117.5,2014
"Randolph, AR",AR,5121,116.2,2014
"St. Francis, AR",AR,5123,96.4,2014
"Saline, AR",AR,5125,106.9,2014
"Scott, AR",AR,5127,154.2,2014
"Searcy, AR",AR,5129,99.7,2014
"Sebastian, AR",AR,5131,186.1,2014
"Sevier, AR",AR,5133,82.9,2014
"Sharp, AR",AR,5135,136.4,2014
"Stone, AR",AR,5137,169.7,2014
"Union, AR",AR,5139,141.9,2014
"Van Buren, AR",AR,5141,114.4,2014
"Washington, AR",AR,5143,104.4,2014
"White, AR",AR,5145,138.1,2014
"Woodruff, AR",AR,5147,32,2014
"Yell, AR",AR,5149,72.3,2014
"Apache, AZ",AZ,4001,21.5,2014
"Cochise, AZ",AZ,4003,82.7,2014
"Coconino, AZ",AZ,4005,60.4,2014
"Gila, AZ",AZ,4007,124.3,2014
"Graham, AZ",AZ,4009,106,2014
"Greenlee, AZ",AZ,4011,1.3,2014
"La Paz, AZ",AZ,4012,89.7,2014
"Maricopa, AZ",AZ,4013,77.9,2014
"Mohave, AZ",AZ,4015,142.2,2014
"Navajo, AZ",AZ,4017,74.7,2014
